keys,it
Melon Husk sorride.,Melon Husk sorride.
"Melon Husk è seduto al tavolo, davanti al proprio mazzo.","Melon Husk è seduto al tavolo, davanti al proprio mazzo."
Melon Husk.,Melon Husk.
Melon Husk?,Melon Husk?
Menu principale,Menu principale
Mette %s nel tuo mazzo,Mette %s nel tuo mazzo
Mette nel tuo mazzo una fra %s,Mette nel tuo mazzo una fra %s
Metti giù le carte. È stata una bella corsa.,Metti giù le carte. È stata una bella corsa.
Metà delle volte raddoppia il colpo.,Metà delle volte raddoppia il colpo.
Mi interessa questo bar.,Mi interessa questo bar.
Mie in pila,Mie in pila
Mischia il mazzo con una mano sola e ti sorride. «Una partita sola. Poi ti lascio in pace.»,Mischia il mazzo con una mano sola e ti sorride. «Una partita sola. Poi ti lascio in pace.»
Molto bene.,Molto bene.
Molto più bravi.,Molto più bravi.
Molto. Posso allenarti.,Molto. Posso allenarti.
Musica,Musica
"Ne hai di lente. Queste aspettano poco e fanno poco, ma arrivano in tempo.","Ne hai di lente. Queste aspettano poco e fanno poco, ma arrivano in tempo."
Ne ho già di carte.,Ne ho già di carte.
Neanche a me.,Neanche a me.
"Nel mazzo ci finisce in un modo solo: ce l'hai messa tu, giocando un Pesca Quattro. Quando entra in campo la catena si spegne.","Nel mazzo ci finisce in un modo solo: ce l'hai messa tu, giocando un Pesca Quattro. Quando entra in campo la catena si spegne."
"Nessun colore ha un potere suo: quello che conta è la catena. Ogni volta che la carta che entra ha lo stesso colore o lo stesso numero di quella appena uscita, tutto il lato colpisce, cura e ripara di più.","Nessun colore ha un potere suo: quello che conta è la catena. Ogni volta che la carta che entra ha lo stesso colore o lo stesso numero di quella appena uscita, tutto il lato colpisce, cura e ripara di più."
Nessuna partita salvata,Nessuna partita salvata
New Game,New Game
Niente.,Niente.
No. Non ancora.,No. Non ancora.
No?,No?
Non abbastanza.,Non abbastanza.
Non abbiamo scelto un posto qualsiasi.,Non abbiamo scelto un posto qualsiasi.
Non ancora.,Non ancora.
Non cala mai da sola.,Non cala mai da sola.
"Non colpisce e non si sbriga: sta in campo e ti cura, un poco per ogni secondo.","Non colpisce e non si sbriga: sta in campo e ti cura, un poco per ogni secondo."
"Non colpisce: potenzia il posto, per chi verrà dopo.","Non colpisce: potenzia il posto, per chi verrà dopo."
Non confondere questa partita con la fine della Megacorp.,Non confondere questa partita con la fine della Megacorp.
"Non conta: nessuna vittoria, nessuna vita.","Non conta: nessuna vittoria, nessuna vita."
Non deve esserlo. Deve funzionare.,Non deve esserlo. Deve funzionare.
Non dovrai aspettare molto.,Non dovrai aspettare molto.
"Non fa niente di speciale. Continua solo a mettere sul tavolo carte che rendono più di quanto costano, finché non ti accorgi che stai perdendo.","Non fa niente di speciale. Continua solo a mettere sul tavolo carte che rendono più di quanto costano, finché non ti accorgi che stai perdendo."
"Non fa tantissimo male. È che non ti lascia giocare: quando tocca a te, non tocca a te.","Non fa tantissimo male. È che non ti lascia giocare: quando tocca a te, non tocca a te."
Non finisce qui.,Non finisce qui.
"Non gioca un mazzo: li gioca tutti. Il poker per chiudere, la briscola per restare in piedi, One per non farti giocare e le creature per crescere mentre tu stai fermo.","Non gioca un mazzo: li gioca tutti. Il poker per chiudere, la briscola per restare in piedi, One per non farti giocare e le creature per crescere mentre tu stai fermo."
"Non ha le carte più forti: ha le stesse carte di tutti, temperate meglio. Un Sei di Bastoni con due innesti sopra è un'altra cosa.","Non ha le carte più forti: ha le stesse carte di tutti, temperate meglio. Un Sei di Bastoni con due innesti sopra è un'altra cosa."
Non ha mai giocato.,Non ha mai giocato.
Non ha un seme e non ne vuole: prende la carta più imminente dell'avversario e si mette al suo posto.,Non ha un seme e non ne vuole: prende la carta più imminente dell'avversario e si mette al suo posto.
Non incoraggiarlo.,Non incoraggiarlo.
Non l'ha mai finita nessuno. Venti punti di vita massima.,Non l'ha mai finita nessuno. Venti punti di vita massima.
Non lo incoraggio. Lo arruolo.,Non lo incoraggio. Lo arruolo.
Non mi interessa la Megacorp.,Non mi interessa la Megacorp.
Non mi piace questa frase.,Non mi piace questa frase.
"Non ne hai ancora. Si comprano qui in bottega, una sola volta ciascuna.","Non ne hai ancora. Si comprano qui in bottega, una sola volta ciascuna."
Non necessariamente tutti insieme.,Non necessariamente tutti insieme.
Non passa dallo scudo. Al massimo %d per lato.,Non passa dallo scudo. Al massimo %d per lato.
Non pensare che sia finita.,Non pensare che sia finita.
Non prometto niente.,Non prometto niente.
"Non sa nemmeno lui cosa sta facendo, ed è esattamente il motivo per cui non riesci a prevederlo.","Non sa nemmeno lui cosa sta facendo, ed è esattamente il motivo per cui non riesci a prevederlo."
Non sarà così semplice.,Non sarà così semplice.
Non sembra arrabbiato.,Non sembra arrabbiato.
Non ti restano vite,Non ti restano vite
"Non uccide adesso: toglie carte alla pila avversaria, ","Non uccide adesso: toglie carte alla pila avversaria, "
Non è solo un bar.,Non è solo un bar.
Non è successo niente.,Non è successo niente.
Non è una vendita.,Non è una vendita.
Nove,Nove
Nove di Blu,Nove di Blu
Nove di Cuori,Nove di Cuori
Nove di Fiori,Nove di Fiori
Nove di Giallo,Nove di Giallo
Nove di Picche,Nove di Picche
Nove di Quadri,Nove di Quadri
Nove di Rosso,Nove di Rosso
Nove di Verde,Nove di Verde
Nove.,Nove.
Nove?,Nove?
Nuovo record!,Nuovo record!
ORO,ORO
"Ogni carta che aggiungi allunga il mazzo: dura di più, ma tira fuori le buone più di rado.","Ogni carta che aggiungi allunga il mazzo: dura di più, ma tira fuori le buone più di rado."
Ogni secondo,Ogni secondo
Ogni secondo: %s,Ogni secondo: %s
One,One
One — quattro colori,One — quattro colori
Oro,Oro
Oro avanzato,Oro avanzato
Oro insufficiente,Oro insufficiente
Oro raccolto in battaglia,Oro raccolto in battaglia
"Oro vero, e una botta.","Oro vero, e una botta."
Otto,Otto
Otto di Blu,Otto di Blu
Otto di Cuori,Otto di Cuori
Otto di Fiori,Otto di Fiori
Otto di Giallo,Otto di Giallo
Otto di Picche,Otto di Picche
Otto di Quadri,Otto di Quadri
Otto di Rosso,Otto di Rosso
Otto di Verde,Otto di Verde
Paga bene: cinque monete oltre al resto.,Paga bene: cinque monete oltre al resto.
Paga da bere a tutti,Paga da bere a tutti
"Panciotto viola e un piano preciso. Figure e carte alte, una dietro l'altra, e One quel tanto che basta a comprarsi il tempo.","Panciotto viola e un piano preciso. Figure e carte alte, una dietro l'altra, e One quel tanto che basta a comprarsi il tempo."
Paralisi,Paralisi
Paralizza per %d secondi,Paralizza per %d secondi
Paralizza per %d secondo,Paralizza per %d secondo
Parte con otto decimi di secondo di anticipo.,Parte con otto decimi di secondo di anticipo.
"Parte con poco e continua a far crescere quello che ha. Nei primi secondi è debole; se la lasci giocare, non lo è più.","Parte con poco e continua a far crescere quello che ha. Nei primi secondi è debole; se la lasci giocare, non lo è più."
Partendo da qui.,Partendo da qui.
Partita di prova,Partita di prova
Passa attraverso lo scudo e arriva dritto alla vita.,Passa attraverso lo scudo e arriva dritto alla vita.
Passa attraverso lo scudo e lascia la ferita aperta.,Passa attraverso lo scudo e lascia la ferita aperta.
Passi in un vicolo e senti qualcosa venire da un bidone lì accanto. Ti si rizzano i peli sulle braccia e l'aria sa di temporale.,Passi in un vicolo e senti qualcosa venire da un bidone lì accanto. Ti si rizzano i peli sulle braccia e l'aria sa di temporale.
Pausa.,Pausa.
Per questo siete qui.,Per questo siete qui.
"Per tre incontri tutte le tue carte vanno un decimo più svelte. Poi passa, come passano le notti.","Per tre incontri tutte le tue carte vanno un decimo più svelte. Poi passa, come passano le notti."
Perché dovrei buttare una carta che ho comprato?,Perché dovrei buttare una carta che ho comprato?
"Perché il mazzo non si rimescola: se devi rimpiazzare e la pila è vuota, hai perso.","Perché il mazzo non si rimescola: se devi rimpiazzare e la pila è vuota, hai perso."
Perché sta diventando una città.,Perché sta diventando una città.
Perché una carta scarsa è una carta buona che non peschi. Togliere è metà del mestiere.,Perché una carta scarsa è una carta buona che non peschi. Togliere è metà del mestiere.
Perché?,Perché?
Perso ai punti.,Perso ai punti.
Perso: ti ha steso.,Perso: ti ha steso.
Perso: ti sono finite le carte.,Perso: ti sono finite le carte.
Pesante,Pesante
Pesca Due,Pesca Due
Pesca Due di Blu,Pesca Due di Blu
Pesca Due di Giallo,Pesca Due di Giallo
Pesca Due di Rosso,Pesca Due di Rosso
Pesca Due di Verde,Pesca Due di Verde
Pesca Quattro,Pesca Quattro
"Pianta un Germoglio in cima al mazzo, e intanto cura un poco.","Pianta un Germoglio in cima al mazzo, e intanto cura un poco."
Picche,Picche
Più vittorie,Più vittorie
"Più è lunga, più tutto il tuo lato colpisce, cura e ripara. E non cala da sola.","Più è lunga, più tutto il tuo lato colpisce, cura e ripara. E non cala da sola."
Poi ci sono i Gaiofanamon. Si comprano solo di livello uno.,Poi ci sono i Gaiofanamon. Si comprano solo di livello uno.
Pokedex,Pokedex
Poker,Poker
Poker — le carte di città,Poker — le carte di città
Possiamo cominciare.,Possiamo cominciare.
"Potenzia il posto, non la carta: ne gode chiunque ci passi ","Potenzia il posto, non la carta: ne gode chiunque ci passi "
Potenzia le tue carte fino a fine battaglia,Potenzia le tue carte fino a fine battaglia
Potenzia lo slot,Potenzia lo slot
Premio del round,Premio del round
Prende il documento dell'acquisizione.,Prende il documento dell'acquisizione.
Prende il mazzo.,Prende il mazzo.
Prende la carta avversaria più vicina a partire e si mette al suo ,Prende la carta avversaria più vicina a partire e si mette al suo 
Prendendo il bar?,Prendendo il bar?
Prendi il Fuoco,Prendi il Fuoco
Prendi l'Acqua,Prendi l'Acqua
Prendi l'Elettro,Prendi l'Elettro
Prendi l'Erba,Prendi l'Erba
Prima dovrete passare da noi.,Prima dovrete passare da noi.
Primo punto!,Primo punto!
Primo punto?,Primo punto?
Procedi a passo svelto,Procedi a passo svelto
ProgressBar,ProgressBar
Prosegui,Prosegui
Q,Q
Quadri,Quadri
Qualche minuto ce l'abbiamo. Prima giochi contro di me: questa non conta.,Qualche minuto ce l'abbiamo. Prima giochi contro di me: questa non conta.
Qualcuno,Qualcuno
Qualunque cosa succeda...,Qualunque cosa succeda...
"Quando gli altri falliscono, arrivo io.","Quando gli altri falliscono, arrivo io."
"Quando hai finito, di qua: ti faccio vedere chi ti aspetta. Da lì si torna indietro.","Quando hai finito, di qua: ti faccio vedere chi ti aspetta. Da lì si torna indietro."
Quando la carta che entra in uno slot ha lo stesso colore o lo ,Quando la carta che entra in uno slot ha lo stesso colore o lo 
Quanti?,Quanti?
Quattro,Quattro
"Quattro anelli di catena in un colpo solo, e quattro carte in meno all'avversario. Il prezzo è un Blocco nel tuo mazzo: prima o poi uscirà, e quel giorno la catena si spegne.","Quattro anelli di catena in un colpo solo, e quattro carte in meno all'avversario. Il prezzo è un Blocco nel tuo mazzo: prima o poi uscirà, e quel giorno la catena si spegne."
Quattro di Bastoni,Quattro di Bastoni
Quattro di Blu,Quattro di Blu
Quattro di Coppe,Quattro di Coppe
Quattro di Cuori,Quattro di Cuori
Quattro di Denari,Quattro di Denari
Quattro di Fiori,Quattro di Fiori
Quattro di Giallo,Quattro di Giallo
Quattro di Picche,Quattro di Picche
Quattro di Quadri,Quattro di Quadri
Quattro di Rosso,Quattro di Rosso
Quattro di Spade,Quattro di Spade
Quattro di Verde,Quattro di Verde
Quella carta ha già due innesti,Quella carta ha già due innesti
Quella era solo la prima sfida.,Quella era solo la prima sfida.
"Quelle colorate sono di One: hanno un colore e un numero, e contano tutti e due.","Quelle colorate sono di One: hanno un colore e un numero, e contano tutti e due."
Questa la mia. Portala a zero e hai vinto.,Questa la mia. Portala a zero e hai vinto.
Questa non è una grande rassicurazione.,Questa non è una grande rassicurazione.
Questa non è una risposta.,Questa non è una risposta.
Questa risposta mi piace.,Questa risposta mi piace.
Questa è la tua vita. A zero è finita.,Questa è la tua vita. A zero è finita.
Questi numeri non arrivano all'attivazione: arrivano per ,Questi numeri non arrivano all'attivazione: arrivano per 
Questo sarà il primo passo della Megacorp a Gaiofana.,Questo sarà il primo passo della Megacorp a Gaiofana.
Questo è il simbolo di Gaiofana.,Questo è il simbolo di Gaiofana.
Questo è l'unico bar di Gaiofana.,Questo è l'unico bar di Gaiofana.
Qui c'è quanto ti resta in pila. Guardalo spesso.,Qui c'è quanto ti resta in pila. Guardalo spesso.
Quindi basta batterli.,Quindi basta batterli.
Quindi il bar è tuo.,Quindi il bar è tuo.
R,R
RELIQUIE,RELIQUIE
ROUND,ROUND
Raccoglila e aggiungila al mazzo,Raccoglila e aggiungila al mazzo
Racconti di Gaiofana,Racconti di Gaiofana
"Rallenta di 1,5 secondi tutte le carte avversarie.","Rallenta di 1,5 secondi tutte le carte avversarie."
Rataz,Rataz
Re,Re
Re di Bastoni,Re di Bastoni
Re di Coppe,Re di Coppe
Re di Cuori,Re di Cuori
Re di Denari,Re di Denari
Re di Fiori,Re di Fiori
Re di Picche,Re di Picche
Re di Quadri,Re di Quadri
Re di Spade,Re di Spade
Record,Record
Recupera %d carta dai tuoi scarti,Recupera %d carta dai tuoi scarti
Recupera %d carte dai tuoi scarti,Recupera %d carte dai tuoi scarti
Recuperare,Recuperare
Reliquie,Reliquie
Resta vostro.,Resta vostro.
Restituiscila alla signora,Restituiscila alla signora
Ricomincia,Ricomincia
Rifiuta,Rifiuta
Rimescola (%d),Rimescola (%d)
Rintocco,Rintocco
"Riporta carte dagli scarti in fondo alla pila: si rigiocheranno, ","Riporta carte dagli scarti in fondo alla pila: si rigiocheranno, "
Riprendi da dove eri rimasto,Riprendi da dove eri rimasto
Ripresa dal round %d,Ripresa dal round %d
Roba nuova in vetrina,Roba nuova in vetrina
Rosso,Rosso
Rosso come quello che ci finisce dentro: le carte rosse valgono due in più.,Rosso come quello che ci finisce dentro: le carte rosse valgono due in più.
Round,Round
Round %d,Round %d
Round %d perso,Round %d perso
Round %d vinto,Round %d vinto
Rovista nel bidone,Rovista nel bidone
Ruba la carta avversaria più vicina a partire,Ruba la carta avversaria più vicina a partire
Rubare,Rubare
SAN,SAN
SCONFITTA.,SCONFITTA.
SCU,SCU
SFIDA FINALE,SFIDA FINALE
SHIFT per come funziona,SHIFT per come funziona
Sai perché la Megacorp vuole Gaiofana?,Sai perché la Megacorp vuole Gaiofana?
Salta ▸,Salta ▸
Sandalo del Giocatore Sfortunato,Sandalo del Giocatore Sfortunato
Sanguinamento,Sanguinamento
Scartare dal mazzo,Scartare dal mazzo
Scegli l'autobriscola,Scegli l'autobriscola
Scegli la carta da buttare,Scegli la carta da buttare
Scegli la carta su cui mettere l'innesto,Scegli la carta su cui mettere l'innesto
Scegli lei,Scegli lei
Scintela,Scintela
Sconfitta,Sconfitta
Scorta,Scorta
Scudo,Scudo
"Scudo massiccio, e due secondi di attesa in più per l'avversario.","Scudo massiccio, e due secondi di attesa in più per l'avversario."
"Se in vetrina non c'è niente che ti piace, paghi e cambia tutto.","Se in vetrina non c'è niente che ti piace, paghi e cambia tutto."
Se la carta che entra somiglia a quella che esce — stesso colore o stesso numero — parte la catena.,Se la carta che entra somiglia a quella che esce — stesso colore o stesso numero — parte la catena.
"Se vincete, il bar resta vostro.","Se vincete, il bar resta vostro."
"Se vinci, voglio vantarmi per una settimana.","Se vinci, voglio vantarmi per una settimana."
"Se vinco, questo bar sarà della Megacorp.","Se vinco, questo bar sarà della Megacorp."
Se vuoi contarli.,Se vuoi contarli.
Sei,Sei
Sei arrivato.,Sei arrivato.
Sei di Bastoni,Sei di Bastoni
Sei di Blu,Sei di Blu
Sei di Coppe,Sei di Coppe
Sei di Cuori,Sei di Cuori
Sei di Denari,Sei di Denari
Sei di Fiori,Sei di Fiori
Sei di Giallo,Sei di Giallo
Sei di Picche,Sei di Picche
Sei di Quadri,Sei di Quadri
Sei di Rosso,Sei di Rosso
Sei di Spade,Sei di Spade
Sei di Verde,Sei di Verde
Sei un pupazzo.,Sei un pupazzo.
Sembra da collezione: vendila,Sembra da collezione: vendila
"Semina: mette in cima al mazzo un Germoglio, che cura finché resta in campo.","Semina: mette in cima al mazzo un Germoglio, che cura finché resta in campo."
Sempre che non distruggiate tutto prima.,Sempre che non distruggiate tutto prima.
Senza il suo simbolo.,Senza il suo simbolo.
Senza questo posto.,Senza questo posto.
Sette,Sette
Sette di Bastoni,Sette di Bastoni
Sette di Blu,Sette di Blu
Sette di Coppe,Sette di Coppe
Sette di Cuori,Sette di Cuori
Sette di Denari,Sette di Denari
Sette di Fiori,Sette di Fiori
Sette di Giallo,Sette di Giallo
Sette di Picche,Sette di Picche
Sette di Quadri,Sette di Quadri
Sette di Rosso,Sette di Rosso
Sette di Spade,Sette di Spade
Sette di Verde,Sette di Verde
Setting,Setting
Sgorga,Sgorga
Sgorga Da Bon,Sgorga Da Bon
SgorgaDaBon,SgorgaDaBon
Si alza.,Si alza.
"Si attivano, evolvono e finiscono negli scarti — ma restano cresciuti per tutta la partita.","Si attivano, evolvono e finiscono negli scarti — ma restano cresciuti per tutta la partita."
Si comincia,Si comincia
"Si comprano solo di livello uno. Ogni volta che si attivano crescono e finiscono negli scarti, e **la crescita resta per il resto della partita**: un cucciolo comprato adesso è un veterano fra due round.","Si comprano solo di livello uno. Ogni volta che si attivano crescono e finiscono negli scarti, e **la crescita resta per il resto della partita**: un cucciolo comprato adesso è un veterano fra due round."
Si dirige verso l'uscita.,Si dirige verso l'uscita.
"Si vince prima del tavolo, non al tavolo. Ma questo lo capisci dopo.","Si vince prima del tavolo, non al tavolo. Ma questo lo capisci dopo."
Siediti.,Siediti.
Silenzio.,Silenzio.
Sono qui per scoprirlo.,Sono qui per scoprirlo.
Sorc,Sorc
"Sotto ogni carta una barra: è l'attesa. Quando finisce, la carta fa il suo effetto e va negli scarti.","Sotto ogni carta una barra: è l'attesa. Quando finisce, la carta fa il suo effetto e va negli scarti."
Spade,Spade
Spegne la catena,Spegne la catena
Spero bene.,Spero bene.
Sprone,Sprone
"Sta bene con qualunque colore: dovunque la metti, la catena continua. Numero non ne ha, quindi da quella parte non lega niente.","Sta bene con qualunque colore: dovunque la metti, la catena continua. Numero non ne ha, quindi da quella parte non lega niente."
Sta diventando abbastanza grande da essere considerata una città.,Sta diventando abbastanza grande da essere considerata una città.
Sta nei bidoni e morde le prese. Ferma la carta avversaria più vicina a partire.,Sta nei bidoni e morde le prese. Ferma la carta avversaria più vicina a partire.
"Sta seduto da ore. Dice che una volta la terra rendeva il doppio, e che lui sa il perché.","Sta seduto da ore. Dice che una volta la terra rendeva il doppio, e che lui sa il perché."
Sta' a sentire i discorsi,Sta' a sentire i discorsi
Storie di campagna raccontate bene: le carte di briscola si fanno aspettare un decimo di meno.,Storie di campagna raccontate bene: le carte di briscola si fanno aspettare un decimo di meno.
Svelto,Svelto
Sì.,Sì.
Sì. Avete venduto?,Sì. Avete venduto?
Tarlo,Tarlo
Tavola delle Sacre Puntate,Tavola delle Sacre Puntate
"Tavolate lunghe cento metri, fisarmonica, e gente che balla fino a domani.","Tavolate lunghe cento metri, fisarmonica, e gente che balla fino a domani."
Tempo.,Tempo.
Thomas Michelini,Thomas Michelini
Ti aspetta %s,Ti aspetta %s
Ti ho sottovalutato.,Ti ho sottovalutato.
Ti insegno io.,Ti insegno io.
Ti lava via veleno e sanguinamento,Ti lava via veleno e sanguinamento
Ti si avvicina un ragazzino: vorrebbe scambiare uno dei suoi Gaiofanamon con uno dei tuoi. Dice che il suo è più forte. Dicono tutti così.,Ti si avvicina un ragazzino: vorrebbe scambiare uno dei suoi Gaiofanamon con uno dei tuoi. Dice che il suo è più forte. Dicono tutti così.
Tieni. Carte di città.,Tieni. Carte di città.
Tira dritto sotto l'acqua,Tira dritto sotto l'acqua
Tira via dritto,Tira via dritto
Toglie %d punti al valore delle carte avversarie in campo,Toglie %d punti al valore delle carte avversarie in campo
Toglie %d punto al valore delle carte avversarie in campo,Toglie %d punto al valore delle carte avversarie in campo
Toglie il suo numero di vita ogni %.0f secondi e **non cala mai**: ,Toglie il suo numero di vita ogni %.0f secondi e **non cala mai**: 
"Toglie il suo numero di vita ogni secondo, e ogni volta ","Toglie il suo numero di vita ogni secondo, e ogni volta "
Torna alla bottega,Torna alla bottega
Torna nel mazzo invece di finire negli scarti,Torna nel mazzo invece di finire negli scarti
Tre,Tre
Tre carte di One in più nel mazzo. Una scatola serve a questo.,Tre carte di One in più nel mazzo. Una scatola serve a questo.
Tre carte di briscola in più nel mazzo. Una scatola serve a questo.,Tre carte di briscola in più nel mazzo. Una scatola serve a questo.
Tre carte di poker in più nel mazzo. Una scatola serve a questo.,Tre carte di poker in più nel mazzo. Una scatola serve a questo.
Tre decimi di effetto in più e un decimo di attesa in meno.,Tre decimi di effetto in più e un decimo di attesa in meno.
Tre di Bastoni,Tre di Bastoni
Tre di Blu,Tre di Blu
Tre di Coppe,Tre di Coppe
Tre di Cuori,Tre di Cuori
Tre di Denari,Tre di Denari
Tre di Fiori,Tre di Fiori
Tre di Giallo,Tre di Giallo
Tre di Picche,Tre di Picche
Tre di Quadri,Tre di Quadri
Tre di Rosso,Tre di Rosso
Tre di Spade,Tre di Spade
Tre di Verde,Tre di Verde
Troppe di città e resti a secco. Troppe di campagna e ti stendono prima.,Troppe di città e resti a secco. Troppe di campagna e ti stendono prima.
Tu,Tu
Tu giochi?,Tu giochi?
Un attrezzo da campo tenuto affilato come non dovrebbe. Le Spade colpiscono tre in più.,Un attrezzo da campo tenuto affilato come non dovrebbe. Le Spade colpiscono tre in più.
"Un colore, e nient'altro: quello che la carta fa lo dice il numero. Il colore serve alla catena.","Un colore, e nient'altro: quello che la carta fa lo dice il numero. Il colore serve alla catena."
"Un fegato allenato a tutto. Veleno e sanguinamento ti attaccano addosso uno in meno, ogni volta.","Un fegato allenato a tutto. Veleno e sanguinamento ti attaccano addosso uno in meno, ogni volta."
Un incontro,Un incontro
Un piccolo pupazzo di coccio spunta da dietro il bancone.,Un piccolo pupazzo di coccio spunta da dietro il bancone.
Un piccolo rumore di coccio.,Un piccolo rumore di coccio.
Un problema shockante,Un problema shockante
"Un pupazzo di legno alto quanto una bottiglia, e l'unico in tutto il bar che sappia davvero giocare. Questa partita non conta: serve a te per capire come si sta al tavolo.","Un pupazzo di legno alto quanto una bottiglia, e l'unico in tutto il bar che sappia davvero giocare. Questa partita non conta: serve a te per capire come si sta al tavolo."
"Un signore vestito come se fosse in laboratorio ti chiede se sai cosa sono i Gaiofanamon. Fai cenno di sì, e lui subito ti domanda se ne vuoi uno che ti aiuti nell'impresa.","Un signore vestito come se fosse in laboratorio ti chiede se sai cosa sono i Gaiofanamon. Fai cenno di sì, e lui subito ti domanda se ne vuoi uno che ti aiuti nell'impresa."
"Un tavolo più grande: una carta in più in campo. Ma sei carte si consumano più in fretta di cinque, e il mazzo lo sa.","Un tavolo più grande: una carta in più in campo. Ma sei carte si consumano più in fretta di cinque, e il mazzo lo sa."
Una Notte da Ricordare,Una Notte da Ricordare
"Una creatura sola, e non sai quale: fuoco, acqua o erba in parti uguali. Una volta su cento, però, dentro c'è L'antigh.","Una creatura sola, e non sai quale: fuoco, acqua o erba in parti uguali. Una volta su cento, però, dentro c'è L'antigh."
Una luce si accende in fondo alla sala.,Una luce si accende in fondo alla sala.
Una partita.,Una partita.
Una partita?,Una partita?
Una scelta difficile,Una scelta difficile
Una scintilla che non sta ferma: colpisce e dà una spinta alle tue altre carte.,Una scintilla che non sta ferma: colpisce e dà una spinta alle tue altre carte.
"Una signora coperta da capo a piedi, di sicuro non della zona, ti viene addosso e tira dritto. Per terra le è caduta una carta. È un Gaiofanamon che non hai mai visto, e il nome ti lascia perplesso: «L'antigh».","Una signora coperta da capo a piedi, di sicuro non della zona, ti viene addosso e tira dritto. Per terra le è caduta una carta. È un Gaiofanamon che non hai mai visto, e il nome ti lascia perplesso: «L'antigh»."
Uno,Uno
Uno dei nostri momenti migliori.,Uno dei nostri momenti migliori.
Uno di Blu,Uno di Blu
Uno di Giallo,Uno di Giallo
Uno di Rosso,Uno di Rosso
Uno di Verde,Uno di Verde
Uno per Tutti Tutti per Uan,Uno per Tutti Tutti per Uan
"Uno sputo d'acqua pulita: si porta via veleno e sanguinamento, e rimette in sesto.","Uno sputo d'acqua pulita: si porta via veleno e sanguinamento, e rimette in sesto."
VEL,VEL
VITTORIA.,VITTORIA.
"Vale anche per me. Un mazzo stende l'avversario, l'altro aspetta che finisca le carte.","Vale anche per me. Un mazzo stende l'avversario, l'altro aspetta che finisca le carte."
"Vale per tutte le tue carte, comprese quelle che ","Vale per tutte le tue carte, comprese quelle che "
Valori,Valori
Vedi il risultato,Vedi il risultato
Vedi mazzo (%d),Vedi mazzo (%d)
Vedi reliquie (%d),Vedi reliquie (%d)
Veleno,Veleno
"Veloci, effetti piccoli. Consumano il mazzo in fretta e vincono per ferite.","Veloci, effetti piccoli. Consumano il mazzo in fretta e vincono per ferite."
Velocità della battaglia,Velocità della battaglia
Vendi quello che hai,Vendi quello che hai
Vendigli il ferro vecchio,Vendigli il ferro vecchio
Verde,Verde
Vestito per il tavolo che conta: tutte le figure valgono tre in più.,Vestito per il tavolo che conta: tutte le figure valgono tre in più.
Veterano,Veterano
Veterano di Acqua,Veterano di Acqua
Veterano di Erba,Veterano di Erba
Veterano di Fuoco,Veterano di Fuoco
Vinto ai punti.,Vinto ai punti.
Vinto: gli sono finite le carte.,Vinto: gli sono finite le carte.
Vinto: l'hai steso.,Vinto: l'hai steso.
Vita,Vita
Vite,Vite
Vite perse,Vite perse
Vite rimaste,Vite rimaste
Vittoria,Vittoria
Vittoria %d di %d — %s,Vittoria %d di %d — %s
Vittorie,Vittorie
Vittorie %d/%d,Vittorie %d/%d
Vogliono prendere il bar.,Vogliono prendere il bar.
Volume generale,Volume generale
X,X
Zappa da Guerra,Zappa da Guerra
Zappador,Zappador
Zappin,Zappin
Zappoun,Zappoun
Zero,Zero
Zero di Blu,Zero di Blu
Zero di Giallo,Zero di Giallo
Zero di Rosso,Zero di Rosso
Zero di Verde,Zero di Verde
affretta,affretta
aggiunge al mazzo,aggiunge al mazzo
arriverai alla prossima battaglia con un decimo di vita in meno,arriverai alla prossima battaglia con un decimo di vita in meno
attivazione finché non passa.,attivazione finché non passa.
brucia,brucia
butta,butta
carta sconosciuta: %s (es. picche_c7),carta sconosciuta: %s (es. picche_c7)
carte da poker contro carte romagnole,carte da poker contro carte romagnole
catena,catena
"cinque Due di Picche, e valgono il doppio","cinque Due di Picche, e valgono il doppio"
cura,cura
danni,danni
danni fino a fine match,danni fino a fine match
danno,danno
devono ancora entrare in campo.,devono ancora entrare in campo.
"dieci vittorie, o niente","dieci vittorie, o niente"
dopo. Uno solo per slot — quello nuovo cancella il vecchio.,dopo. Uno solo per slot — quello nuovo cancella il vecchio.
due su tre finisce bene,due su tre finisce bene
e il conto arriva quando dovrà rimpiazzarne una e non ne avrà più.,e il conto arriva quando dovrà rimpiazzarne una e non ne avrà più.
entra nel mazzo: %s,entra nel mazzo: %s
esce dal mazzo: %s,esce dal mazzo: %s
game jam 2026,game jam 2026
give <seme_valore> — aggiunge una carta al mazzo,give <seme_valore> — aggiunge una carta al mazzo
gold [n] — regala oro,gold [n] — regala oro
good,good
hai imparato qualcosa,hai imparato qualcosa
i Due di Picche valgono il doppio,i Due di Picche valgono il doppio
il numero cala di uno: fa male subito e si spegne da solo. ,il numero cala di uno: fa male subito e si spegne da solo. 
impari il mestiere: una figura nel mazzo,impari il mestiere: una figura nel mazzo
in tasca: %s,in tasca: %s
indebolisce,indebolisce
info,info
la creatura grande. Per rivederla in campo già in questa battaglia bisogna ,la creatura grande. Per rivederla in campo già in questa battaglia bisogna 
la partita finisce qui,la partita finisce qui
la prossima battaglia comincerà con le carte intorpidite,la prossima battaglia comincerà con le carte intorpidite
la prossima battaglia comincerà male,la prossima battaglia comincerà male
